FIPS,Area Name-Legal/Statistical Area Description,Qualifying Name,State/U.S.-Abbreviation (USPS),Region,Division,State (FIPS),Place (FIPS),FIPS Place Class Code,Place Size Code,Area (Land),Area (Water),Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Total Population,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Total Population,Population Density (per sq. mile),Area Total,Area (Land),Area (Water),Total Population,Male,Female,% Male,% Female,Median Age,Median Age: Male Population,Median Age: Female Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,% White Alone,% Black or African American Alone,% American Indian and Alaska Native Alone,% Asian Alone,% Native Hawaiian and Other Pacific Islander Alone,% Some other race Alone,Employed Civilian Population 16 Years And Over,Per capita income In 1999 Dollars,Employed civilian population 16 years and over
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_PLACE,Geo_PLACECC,Geo_PLACESC,Geo_AREALAND,Geo_AREAWATR,Geo_POP100,Geo_HU100,Geo_INTPTLAT,Geo_INTPTLON,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,PCT_SE_T002_002,PCT_SE_T002_003,PCT_SE_T002_004,PCT_SE_T002_005,SE_T003_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,PCT_SE_T005_002,PCT_SE_T005_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,PCT_SE_T014_002,PCT_SE_T014_003,PCT_SE_T014_004,PCT_SE_T014_005,PCT_SE_T014_006,PCT_SE_T014_007,SE_T085_001,SE_T145_001,SE_T209_001
600947,Aliso Viejo CDP,"Aliso Viejo CDP, California",CA,4,9,6,947,U1,16,26485965,0,40166,16608,33575096,-117725431,40166,40166,40166,40166,0,0,100,100,0,0,40166,3927.72,10.22629,10.22629,0,40166,19394,20772,48.28,51.72,32.7,32.8,32.6,31395,828,158,4413,88,1411,78.16,2.06,0.39,10.99,0.22,3.51,23970,35244,23970
601094,Almanor CDP,"Almanor CDP, California",CA,4,9,6,1094,U1,1,2319007,0,0,74,40216857,-121177325,0,0,0,0,0,0,,,,,0,0,0.8953736,0.8953736,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0
601150,Alondra Park CDP,"Alondra Park CDP, California",CA,4,9,6,1150,U1,13,2952870,39044,8622,2933,33890915,-118334297,8622,8622,8622,8622,0,0,100,100,0,0,8622,7562.431,1.155185,1.14011,0.01507497,8622,4340,4282,50.34,49.66,31.5,31.4,31.6,3584,1088,70,1407,36,1900,41.57,12.62,0.81,16.32,0.42,22.04,3505,17175,3505
811810,Canon City city,"Canon City city, Colorado",CO,4,8,8,11810,C1,14,31124493,27112,15431,6617,38446800,-105228305,15431,15431,15269,0,15269,162,98.95,0,98.95,1.05,15431,1284.073,12.0277,12.01723,0.010468,15431,7720,7711,50.03,49.97,39.8,38.2,41.7,14374,246,161,83,9,248,93.15,1.59,1.04,0.54,0.06,1.61,6088,16970,6088
812045,Carbondale town,"Carbondale town, Colorado",CO,4,8,8,12045,C1,13,5208479,0,5196,1821,39399352,-107214820,5196,5196,5161,0,5161,35,99.33,0,99.33,0.67,5196,2583.783,2.011005,2.011005,0,5196,2723,2473,52.41,47.59,30.9,29.8,32.5,4379,34,28,36,1,613,84.28,0.65,0.54,0.69,0.02,11.8,2811,20383,2811
812210,Carriage Club CDP,"Carriage Club CDP, Colorado",CO,4,8,8,12210,U1,9,1927621,0,1002,333,39532715,-104898226,1002,1002,1002,1002,0,0,100,100,0,0,1002,1346.306,0.7442586,0.7442586,0,1002,487,515,48.6,51.4,36.6,38.3,35.2,892,26,0,54,0,15,89.02,2.59,0,5.39,0,1.5,463,31852,463
812325,Cascade-Chipita Park CDP,"Cascade-Chipita Park CDP, Colorado",CO,4,8,8,12325,U2,10,34894246,36148,1709,869,38920814,-104991493,1709,1709,1166,0,1166,543,68.23,0,68.23,31.77,1709,126.8487,13.4867,13.47274,0.01395682,1709,884,825,51.73,48.27,42.3,41.3,43.2,1622,10,14,8,2,31,94.91,0.59,0.82,0.47,0.12,1.81,984,25073,984
812387,Castle Pines CDP,"Castle Pines CDP, Colorado",CO,4,8,8,12387,U1,13,26534163,0,5958,2223,39462003,-104894521,5958,5958,4928,0,4928,1030,82.71,0,82.71,17.29,5958,581.5577,10.2449,10.2449,0,5958,2998,2960,50.32,49.68,39.7,40.3,39,5711,53,20,77,0,34,95.85,0.89,0.34,1.29,0,0.57,3006,70456,3006
812415,Castle Rock town,"Castle Rock town, Colorado",CO,4,8,8,12415,C1,15,81857356,0,20224,7447,39380822,-104851310,20224,20224,19649,0,19649,575,97.16,0,97.16,2.84,20224,639.8926,31.6053,31.6053,0,20224,10160,10064,50.24,49.76,31.9,31.3,32.4,18980,95,126,222,13,376,93.85,0.47,0.62,1.1,0.06,1.86,11236,26760,11236
812442,Castlewood CDP,"Castlewood CDP, Colorado",CO,4,8,8,12442,U1,16,15925421,0,25567,10006,39585938,-104904539,25567,25567,25567,25567,0,0,100,100,0,0,25567,4158.02,6.148839,6.148839,0,25567,12549,13018,49.08,50.92,38.9,37.8,39.8,23972,274,58,717,5,214,93.76,1.07,0.23,2.8,0.02,0.84,14267,37891,14267
812635,Cedaredge town,"Cedaredge town, Colorado",CO,4,8,8,12635,C1,10,5341724,0,1854,1000,38898766,-107926958,1854,1854,0,0,0,1854,0,0,0,100,1854,898.9304,2.062451,2.062451,0,1854,869,985,46.87,53.13,50.7,48.4,53.2,1780,1,7,8,3,11,96.01,0.05,0.38,0.43,0.16,0.59,681,20059,681
956690,Oakville CDP,"Oakville CDP, Connecticut",CT,1,1,9,56690,U1,13,8185867,75839,8618,3358,41592046,-73085431,8618,8618,8618,8618,0,0,100,100,0,0,8618,2726.714,3.189863,3.160581,0.0292816,8618,4102,4516,47.6,52.4,37.8,37.4,38.2,8249,101,7,97,2,55,95.72,1.17,0.08,1.13,0.02,0.64,4433,20763,4433
957180,Old Mystic CDP,"Old Mystic CDP, Connecticut",CT,1,1,9,57180,U1,12,11060165,253848,3205,1249,41389248,-71982936,3205,3205,3189,3189,0,16,99.5,99.5,0,0.5,3205,750.5233,4.368365,4.270354,0.09801126,3205,1571,1634,49.02,50.98,38.2,38.3,38.1,2888,78,21,110,2,16,90.11,2.43,0.66,3.43,0.06,0.5,1648,27988,1648
957390,Old Saybrook Center CDP,"Old Saybrook Center CDP, Connecticut",CT,1,1,9,57390,U2,10,5110675,2403229,1962,984,41290038,-72370616,1962,1962,1962,1962,0,0,100,100,0,0,1962,994.3024,2.901135,1.973243,0.927892,1962,921,1041,46.94,53.06,48.3,46,50.3,1885,12,1,42,4,13,96.08,0.61,0.05,2.14,0.2,0.66,865,33217,865
957670,Orange CDP,"Orange CDP, Connecticut",CT,1,1,9,57670,U1,14,44509981,630345,13233,4870,41279547,-73025416,13233,13233,12834,12834,0,399,96.98,96.98,0,3.02,13233,770.0141,17.42878,17.1854,0.2433776,13233,6430,6803,48.59,51.41,43.2,42.3,44.2,12450,104,11,508,1,43,94.08,0.79,0.08,3.84,0.01,0.32,6459,36471,6459
958520,Oxoboxo River CDP,"Oxoboxo River CDP, Connecticut",CT,1,1,9,58520,U1,12,11034187,605001,2938,1356,41439848,-72118955,2938,2938,2432,2432,0,506,82.78,82.78,0,17.22,2938,689.619,4.493916,4.260324,0.2335922,2938,1484,1454,50.51,49.49,39.9,38.8,41,2659,47,38,75,0,32,90.5,1.6,1.29,2.55,0,1.09,1439,23310,1439
959140,Pawcatuck CDP,"Pawcatuck CDP, Connecticut",CT,1,1,9,59140,U1,13,9579789,59563,5474,2598,41374580,-71844851,5474,5474,5474,0,5474,0,100,0,100,0,5474,1479.948,3.721775,3.698777,0.0229974,5474,2598,2876,47.46,52.54,38.5,37.1,39.7,5120,41,38,116,3,38,93.53,0.75,0.69,2.12,0.05,0.69,2685,20942,2685
960090,Plainfield Village CDP,"Plainfield Village CDP, Connecticut",CT,1,1,9,60090,U2,12,4255688,76223,2638,1007,41675869,-71919845,2638,2638,2638,0,2638,0,100,0,100,0,2638,1605.472,1.67256,1.64313,0.02942987,2638,1253,1385,47.5,52.5,35.9,33.6,38.3,2497,39,21,15,0,32,94.66,1.48,0.8,0.57,0,1.21,1201,14836,1201
1001400,Arden village,"Arden village, Delaware",DE,3,5,10,1400,C1,7,689511,0,474,243,39811512,-75487822,474,474,474,474,0,0,100,100,0,0,474,1780.471,0.2662217,0.2662217,0,474,232,242,48.95,51.05,46.5,46,47,451,4,2,8,0,0,95.15,0.84,0.42,1.69,0,0,242,30422,242
1001530,Ardencroft village,"Ardencroft village, Delaware",DE,3,5,10,1530,C1,6,286774,0,267,115,39805962,-75487616,267,267,267,267,0,0,100,100,0,0,267,2411.4,0.1107241,0.1107241,0,267,128,139,47.94,52.06,44.4,46,43.3,215,33,0,16,0,0,80.52,12.36,0,5.99,0,0,140,30480,140
1001660,Ardentown village,"Ardentown village, Delaware",DE,3,5,10,1660,C1,7,591872,0,300,141,39809112,-75483715,300,300,300,300,0,0,100,100,0,0,300,1312.778,0.2285231,0.2285231,0,300,134,166,44.67,55.33,48.5,45.5,49.6,281,3,0,13,0,0,93.67,1,0,4.33,0,0,161,35577,161
1004130,Bear CDP,"Bear CDP, Delaware",DE,3,5,10,4130,U1,14,14874434,0,17593,6265,39620362,-75684776,17593,17593,17593,17593,0,0,100,100,0,0,17593,3063.354,5.743052,5.743052,0,17593,8581,9012,48.78,51.22,30.4,29.5,31.3,11772,4714,38,357,4,313,66.91,26.79,0.22,2.03,0.02,1.78,8721,20715,8721
1004650,Bellefonte town,"Bellefonte town, Delaware",DE,3,5,10,4650,C1,9,455447,0,1249,551,39766413,-75497954,1249,1249,1249,1249,0,0,100,100,0,0,1249,7102.682,0.1758491,0.1758491,0,1249,604,645,48.36,51.64,37.5,36.3,39.2,1198,30,0,8,0,7,95.92,2.4,0,0.64,0,0.56,673,22661,673
1005690,Bethany Beach town,"Bethany Beach town, Delaware",DE,3,5,10,5690,C1,8,2989282,39222,903,2376,38540807,-75061771,903,903,901,0,901,2,99.78,0,99.78,0.22,903,782.3816,1.169312,1.154168,0.0151437,903,426,477,47.18,52.82,58.9,58.8,58.9,884,7,1,2,0,0,97.9,0.78,0.11,0.22,0,0,362,41306,362
1005820,Bethel town,"Bethel town, Delaware",DE,3,5,10,5820,C1,4,1153469,0,184,97,38568676,-75620188,184,184,0,0,0,184,0,0,0,100,184,413.1518,0.4453569,0.4453569,0,184,87,97,47.28,52.72,44.3,42.8,45.4,177,5,0,2,0,0,96.2,2.72,0,1.09,0,0,83,25254,83
1006730,Blades town,"Blades town, Delaware",DE,3,5,10,6730,C1,8,1124731,0,956,393,38633567,-75606744,956,956,956,0,956,0,100,0,100,0,956,2201.441,0.4342611,0.4342611,0,956,449,507,46.97,53.03,32.7,31.2,35,667,208,5,10,1,38,69.77,21.76,0.52,1.05,0.1,3.97,443,13495,443
1202275,Astor CDP,"Astor CDP, Florida",FL,3,5,12,2275,U1,9,6384175,9581,1487,1027,29163869,-81534562,1487,1487,0,0,0,1487,0,0,0,100,1487,603.2592,2.468643,2.464944,0.003699245,1487,732,755,49.23,50.77,48.4,47.9,48.7,1442,10,12,0,1,18,96.97,0.67,0.81,0,0.07,1.21,652,14467,652
1202400,Atlantic Beach city,"Atlantic Beach city, Florida",FL,3,5,12,2400,C1,14,9659692,23961690,13368,6003,30334749,-81408822,13368,13368,13368,13368,0,0,100,100,0,0,13368,3584.271,12.98129,3.729628,9.25166,13368,6503,6865,48.65,51.35,39.3,37.9,40.9,10992,1697,35,279,4,150,82.23,12.69,0.26,2.09,0.03,1.12,6606,28618,6606
1202500,Atlantis city,"Atlantis city, Florida",FL,3,5,12,2500,C1,11,3549656,106613,2005,1140,26593296,-80104531,2005,2005,2005,2005,0,0,100,100,0,0,2005,1462.938,1.411693,1.37053,0.04116351,2005,931,1074,46.43,53.57,65.7,66.2,65.3,1947,10,0,40,0,4,97.11,0.5,0,2,0,0.2,645,47614,645
1202550,Auburndale city,"Auburndale city, Florida",FL,3,5,12,2550,C1,14,13519356,10561848,11032,4547,28066969,-81795252,11032,11032,11013,11013,0,19,99.83,99.83,0,0.17,11032,2113.469,9.297805,5.219853,4.077952,11032,5293,5739,47.98,52.02,35.7,34.1,37,8950,1353,29,97,5,382,81.13,12.26,0.26,0.88,0.05,3.46,5070,15510,5070
1202681,Aventura city,"Aventura city, Florida",FL,3,5,12,2681,C1,16,7003037,2086641,25267,20020,25964345,-80135818,25267,25267,25267,25267,0,0,100,100,0,0,25267,9344.692,3.509544,2.703888,0.8056566,25267,11249,14018,44.52,55.48,52.8,49.8,55.1,23695,430,18,307,5,366,93.78,1.7,0.07,1.22,0.02,1.45,10414,41092,10414
1202750,Avon Park city,"Avon Park city, Florida",FL,3,5,12,2750,C1,13,12011909,2633056,8542,3916,27594418,-81503437,8542,8542,8403,0,8403,139,98.37,0,98.37,1.63,8542,1841.812,5.654453,4.637824,1.016629,8542,4223,4319,49.44,50.56,35.8,33.2,38.7,5031,2513,27,59,4,713,58.9,29.42,0.32,0.69,0.05,8.35,3220,11897,3220
